ticker,date,open,high,low,close,volume,adj_close,daily_return,MA_7,MA_30,volatility,momentum,price_range,price_range_pct
AAPL,2023-11-07,177.44,180.67,177.23,180.06,70530000,180.06,0.014479688996563045,174.955,174.955,0.010333109850976413,0.06475075394713503,3.4399999999999977,0.019104742863489933
AAPL,2023-11-08,180.58,181.67,179.83,181.12,49340300,181.12,0.005886926580028984,175.83571428571426,175.83571428571426,0.00964811941956473,0.051311817970745244,1.839999999999975,0.010159010600706576
AAPL,2023-11-09,181.19,182.33,180.05,180.64,53763500,180.64,-0.0026501766784453595,177.4828571428571,176.43625,0.010311868940030479,0.02723912425362518,2.280000000000001,0.012621789193976978
AAPL,2023-11-10,182.43,185.0,181.99,184.84,66133400,184.84,0.02325066430469458,179.27714285714282,177.37,0.010711545830983193,0.056590831142105946,3.009999999999991,0.01628435403592291
AAPL,2023-11-13,184.26,184.47,182.66,183.25,43627500,183.25,-0.008602034191733443,180.3342857142857,177.958,0.012003911459910234,0.03245253253704439,1.8100000000000023,0.009877216916780366
AAPL,2023-11-14,186.12,186.53,184.74,185.87,60108400,185.87,0.014297407912687632,181.8957142857143,178.67727272727274,0.01143950362657123,0.032267022103743104,1.789999999999992,0.009630386829504449
AAPL,2023-11-15,186.27,187.91,186.2,186.43,53790500,186.43,0.003012858449453981,183.17285714285714,179.32333333333335,0.011030170929646517,0.02931757950530045,1.710000000000008,0.009172343506946349
AAPL,2023-11-16,187.98,189.36,187.07,188.12,54412900,188.12,0.009065064635519926,184.3242857142857,180.0,0.010516900274059389,0.041408325952170255,2.2900000000000205,0.012173081012120031
AAPL,2023-11-17,188.65,188.78,186.99,188.1,50922700,188.1,-0.00010631511800984761,185.32142857142858,180.57857142857142,0.010378891908342822,0.017636875135252028,1.789999999999992,0.009516214779372633
AAPL,2023-11-20,188.3,190.3,188.29,189.84,46505100,189.84,0.009250398724083064,186.6357142857143,181.196,0.009975162556514849,0.035961800818553824,2.0100000000000193,0.01058786346396976
AAPL,2023-11-21,189.8,189.91,188.15,189.04,38134500,189.04,-0.004214075010535279,187.2357142857143,181.68625,0.010144093696468268,0.01705493086565868,1.759999999999991,0.009310198899703718
AAPL,2023-11-22,189.88,191.31,189.23,189.7,39617700,189.7,0.0034913245873888776,188.15714285714287,182.15764705882353,0.009851300167543984,0.01754009547819546,2.0800000000000125,0.01096468107538225
AAPL,2023-11-24,189.27,189.3,187.66,188.38,24048300,188.38,-0.006958355297838614,188.51571428571427,182.50333333333333,0.010142038287604299,0.0013820965341271307,1.6400000000000148,0.008705807410553216
AAPL,2023-11-27,188.33,189.07,187.31,188.2,40552600,188.2,-0.0009555154474997218,188.76857142857142,182.80315789473684,0.009991454052450615,0.0005316321105794941,1.759999999999991,0.009351753453772534
AAPL,2023-11-28,188.19,189.48,187.81,188.8,38415400,188.8,0.0031880977683316214,188.8657142857143,183.103,0.009731452010427405,-0.005478297513695662,1.6699999999999875,0.008845338983050781
