1,AAPL,Apple Inc.,Technology,Consumer Electronics,4002453389312,40.99,0.3900,271.41,169.21,2025-10-30 13:02:32
2,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,4025388367872,39.67,0.6700,555.45,344.79,2025-10-30 13:02:32
3,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3323907801088,29.24,0.3100,275.34,140.53,2025-10-30 13:02:32
4,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2456129110016,35.11,,242.52,161.38,2025-10-30 13:02:32
5,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1888301350912,27.24,0.2800,796.25,479.80,2025-10-30 13:02:32
